Date,DayOfWeek,Avail,Total,Indv,Multi,Blocks,Occ,Ad,Ch,Inf,Accomm,FB,Other,NonRevenue,TotalRevenue,GrandTotal,CumulativeAccomm,CumulativeFB,CumulativeOther,CumulativeTotalRevenue,CumulativeNonRevenue,CumulativeGrandTotal,ARR,APR,Yield,Blked,ROOS,DFS,Waitlist,InStock,RatePlanRevenue
01/01/2022 00:00,Saturday,12,84,74,10,0,78.5,160,0,0,8841.03,241.3,0,0,9082.33,9082.33,8841.03,241.3,0,9082.33,0,9082.33,105.25,100.91,82.63,0,11,0,0,107,8476.24
02/01/2022 00:00,Sunday,10,78,68,10,0,72.9,146,0,0,5090.23,163.2,0,0,5253.43,5253.43,13931.26,404.5,0,14335.76,0,14335.76,65.26,62.77,47.57,0,19,0,0,107,4896.06
03/01/2022 00:00,Monday,17,76,74,2,0,71.03,138,1,0,4834.24,140.7,50,0,5024.94,5024.94,18765.5,545.2,50,19360.7,0,19360.7,63.61,63.51,45.18,0,14,0,0,107,4827.1
04/01/2022 00:00,Tuesday,33,61,59,2,0,57.01,114,0,0,4195.61,192.7,150,0,4538.31,4538.31,22961.11,737.9,200,23899.01,0,23899.01,68.78,67.27,39.21,0,13,0,0,107,4103.39
05/01/2022 00:00,Wednesday,31,62,57,5,0,57.94,114,4,0,3986.54,253.3,0,0,4239.84,4239.84,26947.65,991.2,200,28138.85,0,28138.85,64.3,66.71,37.26,0,14,0,0,107,4136.04
06/01/2022 00:00,Thursday,28,67,63,4,0,62.62,125,2,0,4369.36,374.6,0,0,4743.96,4743.96,31317.01,1365.8,200,32882.81,0,32882.81,65.21,65.75,40.84,0,12,0,0,107,4404.94
07/01/2022 00:00,Friday,21,72,64,8,0,67.29,131,2,0,5805.73,370.9,0,0,6176.63,6176.63,37122.74,1736.7,200,39059.44,0,39059.44,80.64,80.18,54.26,0,14,0,0,107,5772.66
08/01/2022 00:00,Saturday,20,69,63,6,0,64.49,126,2,0,6315.77,287.7,100,0,6703.47,6703.47,43438.51,2024.4,300,45762.91,0,45762.91,91.53,91.28,59.03,0,18,0,0,107,6298.44
09/01/2022 00:00,Sunday,47,40,40,0,0,37.38,67,0,0,2479.83,187.2,300,0,2967.03,2967.03,45918.34,2211.6,600,48729.94,0,48729.94,62,63.22,23.18,0,20,0,0,107,2528.83
10/01/2022 00:00,Monday,55,36,36,0,0,33.64,58,1,0,2288.14,123.75,0,0,2411.89,2411.89,48206.48,2335.35,600,51141.83,0,51141.83,63.56,65.16,21.38,0,16,0,0,107,2345.64
11/01/2022 00:00,Tuesday,53,38,38,0,0,35.51,62,1,0,2439.71,135.9,0,0,2575.61,2575.61,50646.19,2471.25,600,53717.44,0,53717.44,64.2,62.61,22.8,0,16,0,0,107,2379.21
12/01/2022 00:00,Wednesday,49,41,39,2,0,38.32,65,0,0,2505,171.6,0,0,2676.6,2676.6,53151.19,2642.85,600,56394.04,0,56394.04,61.1,62.5,23.41,0,17,0,0,107,2562.5
13/01/2022 00:00,Thursday,44,48,48,0,0,44.86,76,0,0,3038.24,140.7,250,0,3428.94,3428.94,56189.43,2783.55,850,59822.98,0,59822.98,63.3,62.59,28.39,0,15,0,0,107,3004.22
14/01/2022 00:00,Friday,20,72,70,2,0,67.29,128,1,0,5984.11,269,0,0,6253.11,6253.11,62173.54,3052.55,850,66076.09,0,66076.09,83.11,81.23,55.93,0,15,0,0,107,5848.63
15/01/2022 00:00,Saturday,7,73,71,2,0,68.22,136,0,0,6791.73,298.2,0,0,7089.93,7089.93,68965.27,3350.75,850,73166.02,0,73166.02,93.04,94.46,63.47,0,27,0,0,107,6895.23
16/01/2022 00:00,Sunday,33,49,45,4,0,45.79,87,3,0,3261.11,251.6,150,0,3662.71,3662.71,72226.38,3602.35,1000,76828.73,0,76828.73,66.55,67.96,30.48,0,25,0,0,107,3330.11
17/01/2022 00:00,Monday,43,43,37,6,0,40.19,69,3,0,3105.18,63.8,300,0,3468.98,3468.98,75331.56,3666.15,1300,80297.71,0,80297.71,72.21,62.36,29.02,0,21,0,0,107,2681.36
18/01/2022 00:00,Tuesday,37,43,41,2,0,40.19,71,0,0,2975.64,95.5,-150,0,2921.14,2921.14,78307.2,3761.65,1150,83218.85,0,83218.85,69.2,65.98,27.81,0,27,0,0,107,2837.14
19/01/2022 00:00,Wednesday,45,49,47,2,0,45.79,80,1,0,3088.03,126.5,0,0,3214.53,3214.53,81395.23,3888.15,1150,86433.38,0,86433.38,63.02,62.09,28.86,0,13,0,0,107,3042.51
20/01/2022 00:00,Thursday,52,44,42,2,0,41.12,71,0,0,2530.92,73.9,0,0,2604.82,2604.82,83926.15,3962.05,1150,89038.2,0,89038.2,57.52,60.96,23.65,0,11,0,0,107,2682.19
21/01/2022 00:00,Friday,17,79,67,12,0,73.83,150,1,0,6630.14,265.4,150,0,7045.54,7045.54,90556.29,4227.45,1300,96083.74,0,96083.74,83.93,84.67,61.96,0,11,0,0,107,6688.68
22/01/2022 00:00,Saturday,5,91,73,18,0,85.05,173,1,0,9267.41,438,0,0,9705.41,9705.41,99823.7,4665.45,1300,105789.15,0,105789.15,101.84,103.1,86.61,0,11,0,0,107,9382.41
23/01/2022 00:00,Sunday,36,60,52,8,0,56.07,106,0,0,3828.46,227.1,0,0,4055.56,4055.56,103652.16,4892.55,1300,109844.71,0,109844.71,63.81,61.75,35.78,0,11,0,0,107,3704.94
24/01/2022 00:00,Monday,46,45,41,4,0,42.06,75,0,0,2679.54,126.5,0,0,2806.04,2806.04,106331.7,5019.05,1300,112650.75,0,112650.75,59.55,62.28,25.04,0,16,0,0,107,2802.65
25/01/2022 00:00,Tuesday,45,52,43,9,0,48.6,81,0,0,3140.02,247.6,0,0,3387.62,3387.62,109471.72,5266.65,1300,116038.37,0,116038.37,60.39,63.48,29.35,0,10,0,0,107,3301.02
26/01/2022 00:00,Wednesday,37,58,56,2,0,54.21,103,0,0,3618.7,153.5,0,0,3772.2,3772.2,113090.42,5420.15,1300,119810.57,0,119810.57,62.39,62.62,33.82,0,12,0,0,107,3631.91
27/01/2022 00:00,Thursday,16,78,73,5,0,72.9,139,0,0,4012.75,295.55,0,0,4308.3,4308.3,117103.17,5715.7,1300,124118.87,0,124118.87,51.45,59.83,37.5,0,13,0,0,107,4666.63
28/01/2022 00:00,Friday,9,77,72,5,0,71.96,143,1,0,7425.72,429.9,0,0,7855.62,7855.62,124528.89,6145.6,1300,131974.49,0,131974.49,96.44,89.19,69.4,0,21,0,0,107,6867.41
