Date,DayOfWeek,Avail,Total,Indv,Multi,Blocks,Occ,Ad,Ch,Inf,Accomm,FB,Other,NonRevenue,TotalRevenue,GrandTotal,CumulativeAccomm,CumulativeFB,CumulativeOther,CumulativeTotalRevenue,CumulativeNonRevenue,CumulativeGrandTotal,ARR,APR,Yield,Blked,ROOS,DFS,Waitlist,InStock,RatePlanRevenue
01/01/2024 00:00,Monday,29,78,61,17,0,72.9,148,2,0,9286.96,1515.05,0,0,10802.01,10802.01,9286.96,1515.05,0,10802.01,0,10802.01,119.06,122.56,86.79,0,0,0,0,107,9559.96
02/01/2024 00:00,Tuesday,17,88,80,8,0,82.24,164,1,0,7807.19,964.25,150,0,8921.44,8921.44,17094.15,2479.3,150,19723.45,0,19723.45,88.72,91.91,72.96,0,2,0,0,107,8088.19
03/01/2024 00:00,Wednesday,9,95,93,2,0,88.79,171,0,0,12553.42,1045.7,0,0,13599.12,13599.12,29647.57,3525,150,33322.57,0,33322.57,132.14,90.48,117.32,0,3,0,0,107,8595.92
04/01/2024 00:00,Thursday,9,97,93,4,0,90.65,173,2,0,8845.41,1041.5,150,0,10036.91,10036.91,38492.98,4566.5,300,43359.48,0,43359.48,91.19,91.73,82.67,0,1,0,0,107,8898.22
05/01/2024 00:00,Friday,14,92,86,6,0,85.98,174,0,0,10332.27,959.25,100,0,11391.52,11391.52,48825.25,5525.75,400,54751,0,54751,112.31,110.58,96.56,0,1,0,0,107,10173.52
06/01/2024 00:00,Saturday,8,97,88,9,0,90.65,188,4,0,11166.43,1049.5,0,0,12215.93,12215.93,59991.68,6575.25,400,66966.93,0,66966.93,115.12,115.43,104.36,0,2,0,0,107,11196.65
07/01/2024 00:00,Sunday,53,53,53,0,0,49.53,98,2,0,4178.84,464.1,0,0,4642.94,4642.94,64170.52,7039.35,400,71609.87,0,71609.87,78.85,80.7,39.05,0,1,0,0,107,4276.84
08/01/2024 00:00,Monday,34,71,59,12,0,66.36,131,0,0,5839.84,1084.6,0,0,6924.44,6924.44,70010.36,8123.95,400,78534.31,0,78534.31,82.25,85.3,54.58,0,2,0,0,107,6056.55
09/01/2024 00:00,Tuesday,8,70,62,8,0,65.42,126,0,0,5665.01,796.35,0,0,6461.36,6461.36,75675.37,8920.3,400,84995.67,0,84995.67,80.93,81.63,52.94,0,29,0,0,107,5714.42
10/01/2024 00:00,Wednesday,19,70,57,13,0,65.42,115,0,0,5489.64,622.8,0,0,6112.44,6112.44,81165.01,9543.1,400,91108.11,0,91108.11,78.42,81.89,51.31,0,18,0,0,107,5732.55
